BLA-Insc-1_C01,BLA-Insc-1_C02,BLA-Insc-1_C03,BLA-Insc-1_C04,BLA-Insc-1_C05,BLA-Insc-7_C02,BLA-Insc-7_C03,BLA-Insc-7_C04,BLA-Insc-9_C04,BLA-Insc-9_C05
2.281928081,2.6312391,1.007160415,3.510963523,1.206028873,1.077773418,2.378141496,1.944151908,0.449159233,1.046404263
2.284756438,2.510094069,1.484058662,3.996003038,0.503428762,1.110956081,2.153710004,1.660219985,0.741332917,0.531474933
2.4249661,1.919584285,0.774416324,4.318794875,0.596466638,1.045177031,1.755670022,1.216418042,0.640298367,0.90945715
2.249581732,1.172335585,0.980770719,4.355062385,0.379892268,0.977391637,1.302762296,0.870937612,-0.191793817,0.5884559
2.939301572,1.472898923,1.133610638,4.492036405,0.367420546,1.002046152,1.380577288,1.230641454,0.2055235,0.6732782
3.332723585,1.093975076,0.9049337,4.383056377,0.377113815,0.990271415,1.37008285,1.480894245,-0.279615917,0.9217224
3.186669392,0.86809494,1.300109125,4.283911362,0.516053669,0.626336668,1.480958965,1.318416408,0.04660675,0.858124817
3.371274262,0.751463034,0.900988669,6.594623692,0.203448956,0.980093081,1.408791911,1.225622481,-0.126592217,0.770840117
3.771009269,1.082114723,0.455733485,6.826358254,0.9685817,0.75532264,1.764208604,1.642186435,-0.492333133,1.483026367
3.817085485,1.0822926,0.521764718,7.351242592,2.177886331,0.961183911,1.903956954,1.598336915,0.56558067,1.172661467
4.426962246,1.468639346,0.737063338,7.1367372,2.642431555,0.710146177,1.963396442,1.588335138,0.81961623,1.182186115
4.639297069,0.675811192,0.120265285,6.949414482,2.525562393,0.855921924,1.714901507,1.104053577,0.124196317,1.469471883
4.499207318,0.605144154,0.497417962,6.306440867,1.811896549,1.168153096,1.400961885,1.516762031,1.134310517,1.050155617
4.113257062,0.892426771,0.292906131,6.195169892,1.336060548,0.846288159,1.016006599,1.700684138,-0.241653167,0.762271617
4.332502046,0.971545654,0.454771732,5.762920438,1.529249007,0.577462905,0.675246915,1.689426227,0.4931128,0.673498433
5.243023185,1.184821615,0.236132222,5.235464362,1.948638868,0.760105889,0.758608708,1.471537127,0.012028771,1.518695483
