BLA-Insc-3_C01,BLA-Insc-3_C02,BLA-Insc-3_C03,BLA-Insc-3_C04,BLA-Insc-3_C05,BLA-Insc-3_C06,BLA-Insc-3_C07,BLA-Insc-3_C08,BLA-Insc-3_C09,BLA-Insc-3_C10,BLA-Insc-3_C11,BLA-Insc-3_C12,BLA-Insc-6_C01,BLA-Insc-6_C02,BLA-Insc-6_C03,BLA-Insc-6_C04,BLA-Insc-6_C05,BLA-Insc-6_C06,BLA-Insc-6_C07,BLA-Insc-6_C08,BLA-Insc-6_C09,BLA-Insc-6_C10,BLA-Insc-6_C11,BLA-Insc-6_C12,BLA-Insc-6_C13
2.7985935,3.010829,0.73762135,2.4403930000000003,2.68280035,0.28745475,-1.4021515,-0.4332940249999999,1.24011125,0.1128055,4.6543475,0.334943,-8.079443,2.0025,-4.017915,7.659807,51.41952,1.48877,-8.601469,12.8761,-19.1344,1.436099,-0.9641931,9.03455,30.20048
3.524784,2.329078,2.4182405,2.9813235,2.9173711,0.0576734499999999,-1.3693900499999998,-0.4373603499999999,0.77487565,0.22034544,4.645728,1.1688817,-8.147557,3.10445,-4.952761,10.695,48.16261,1.177698,-9.719733,12.27035,-18.47742,1.537795,1.059515,7.900359,28.71637
3.3563325,1.6205865,2.3120935,3.5341515,3.7954035,0.39317445,-1.0078651079999998,-0.404215,-0.4202864,-0.3742972999999999,3.13473,0.049111,-7.334126,1.460635,-3.023398,12.11149,43.58181,1.527228,-9.077037,16.08382,-15.61086,0.1860797,-0.6402498,10.29464,27.31164
2.8604225,3.2929205,2.340255,3.6551855,4.5408945,-0.37346965,-0.8249504999999999,-1.167124515,-0.27447425,-1.3161381,3.1182575,0.763434,-6.581332,1.470789,-2.023911,12.07842,42.92536,2.781798,-11.14861,16.1753,-18.27105,1.857743,1.222868,10.08565,25.96499
3.2126475,3.179666,2.207946,4.228437,4.735267,1.4871412,-1.0533937,-0.4767555,-0.1517834999999999,-0.4140544,4.5575165,-0.267954,-4.21857,3.277463,-3.009166,10.36844,39.18609,1.422609,-12.11861,14.4192,-13.44038,1.878434,1.541014,9.391472,24.69268
1.20173975,2.4025295,3.6465245,1.93572525,4.383564,1.4434595,-0.1097435,-0.6011759499999999,-0.01632,1.49602115,1.41945885,0.85587455,-7.378155,3.590119,-1.882671,8.783995,37.64672,0.6237936,-11.73388,14.15843,-13.25634,0.5816525,1.912917,11.67346,29.3641
2.0756105,3.9419215,2.87052285,1.66932205,3.840682,2.3810465,0.3639054499999999,-0.4070906499999999,0.2135577,-0.31921205,2.177368,1.808345195,-5.619774,2.74127,-1.754327,9.851932,33.05932,2.000964,-9.359888,11.4984,-13.3611,0.9989754,1.349932,10.91061,27.91662
2.5486120000000003,2.312509,2.5818615,2.2228700000000003,3.6074025,0.301330855,1.2979086,-0.47020149,-0.47909735,0.787207,2.835416,-0.1791415,-6.977581,4.518643,-2.721797,8.881906,29.82036,0.45069,-8.567982,12.46217,-12.47855,0.6486651,1.331246,10.57369,30.3653
2.286194,3.2341230000000003,4.3625695,1.39791265,2.8246235,-0.2713583999999999,0.6423785000000001,-0.6891765000000001,-0.1708096,0.30398731,2.984724,-0.55185385,-6.28738,3.851311,-0.1562429,8.851123,28.72216,0.3018692,-10.04775,10.65158,-11.71867,-0.02108818,2.283195,8.693222,33.31306
2.065189,2.677257,2.93758015,3.0594095,3.6117305,0.467584215,0.6563474499999999,0.83044305,0.06792285,-0.1244894,2.973749,-0.4165829999999999,-5.729435,3.427098,-0.9285637,9.880234,25.01811,2.478519,-6.78743,8.20427,-9.184029,1.83342,2.966035,8.441358,31.63522
2.5629475,2.651707,1.8496465,1.32866545,2.2829735,-0.13788545,0.072616,0.0663824349999999,0.44106995,0.75566925,2.901578,0.41274625,-4.817385,3.98158,-2.449832,8.764409,27.04097,0.9305703,-7.890712,7.143321,-8.243896,0.2240157,2.078563,9.295969,30.75613
1.5944905500000002,1.8545945,1.576268,0.7301648000000001,1.3675495,1.7399625,-0.34542425,-1.8992295,0.194548505,1.3497154999999998,3.31685,-0.5253329,-4.294258,3.633103,-1.346838,7.435223,26.31089,-0.1438382,-7.865531,5.629626,-8.555942,1.544072,1.052747,12.8207,31.70106
2.2515385,1.7262375,1.537754,1.97208,2.7112085,-0.31493055,0.0987226,-0.98145675,1.0847014,1.921514,2.5595905,0.178315,-6.885355,4.484688,-2.308325,7.074875,26.39591,-0.3443029,-7.39034,5.154826,-5.637389,1.696502,1.12349,15.22992,31.97345
1.9683725,2.1317925,1.7547535,1.93520945,2.418381,-0.7858364,-0.335253,-0.36016105,2.008487,0.0445426499999999,3.7614115,-0.2551924,-5.954508,5.339211,-1.03057,5.504623,24.49009,0.4544668,-8.378534,4.370992,-5.06082,2.417395,2.025942,16.45202,30.36952
3.500717,1.914857,1.08787122,1.60455705,2.6238705,0.7128318050000001,0.3587617999999999,-0.19332255,0.8920329,0.7122885499999999,3.1148795,0.4428421,-4.068126,3.853363,-1.251366,6.536952,27.14704,0.683092,-9.151132,6.601676,-8.658469,2.109092,2.717562,23.61794,28.85413
1.6862235,2.1012065,1.34919475,1.334584,1.87463,0.74788095,0.75554245,-0.0116093499999999,1.0966305,-1.466461,2.690198,-0.356908685,-5.360565,5.153488,-3.02097,7.181514,26.33483,1.047907,-7.218602,4.703171,-6.61295,2.143697,3.205409,24.66001,34.20338
2.116406,2.082797,3.6631695,0.4636579,2.5348675,-0.39807395,-0.121234125,-0.65386025,0.2283436499999999,0.74882675,1.7171105,-0.97456925,-4.249067,6.310929,-1.953596,6.971799,23.86761,0.6561989,-8.673759,5.528601,-5.265461,1.046798,1.011754,22.97772,32.47642
1.82943,1.6638190000000002,3.011775,0.201240955,1.3832713,1.21893605,0.2299283999999999,-0.4285880999999999,1.2909285,0.987264,4.2612225,-1.11987255,-3.132712,3.257678,-1.463627,7.217373,26.0714,0.3767567,-12.36804,5.202187,-4.78698,2.412186,3.918371,25.7059,30.84478
